2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty UAH: Kupno: 0.097, Sprzedaż: 0.105
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty USD: Kupno: 3.965, Sprzedaż: 3.995
2024-01-12 13:40:49 INFO  ApiCur:117 - Pobieranie danych zakończone sukcesem.
2024-01-12 13:40:49 INFO  ApiCur:23 - Rozpoczęcie pobierania danych z URL: https://kantor.live/kantory/krakow/652480-kantor-house
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty AUD: Kupno: 2.61, Sprzedaż: 2.7
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty CAD: Kupno: 2.92, Sprzedaż: 2.99
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty CHF: Kupno: 4.63, Sprzedaż: 4.66
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty CNY: Kupno: 0.46, Sprzedaż: 0.59
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty CZK: Kupno: 0.171, Sprzedaż: 0.177
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty DKK: Kupno: 0.46, Sprzedaż: 0.52
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty EUR: Kupno: 4.34, Sprzedaż: 4.36
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty GBP: Kupno: 5.02, Sprzedaż: 5.05
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty GEL: Kupno: 1.436, Sprzedaż: 1.75
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty HUF: Kupno: 0.01, Sprzedaż: 0.0118
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty ILS: Kupno: 0.75, Sprzedaż: 1
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty NOK: Kupno: 0.27, Sprzedaż: 0.35
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty RON: Kupno: 0.835, Sprzedaż: 0.93
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty SEK: Kupno: 0.365, Sprzedaż: 0.39
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty TRY: Kupno: 0.125, Sprzedaż: 0.18
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty UAH: Kupno: 0.1, Sprzedaż: 0.108
2024-01-12 13:40:51 INFO  ApiCur:108 - pobrano dane waluty USD: Kupno: 3.961, Sprzedaż: 3.999
2024-01-12 13:40:51 INFO  ApiCur:117 - Pobieranie danych zakończone sukcesem.
2024-01-12 13:40:51 INFO  ApiCur:23 - Rozpoczęcie pobierania danych z URL: https://kantor.live/kantory/krakow/707917-kantor-centrum
